tc_number;troncon_principal;km_segment;subdivision;mille;localisation;acces;juridiction;autorite_routiere;protection;trains_jour;vehicules_jour;voies_route;urbain;vmax_S1_kmh;vmax_S2_kmh;vmax_S3_kmh;bande_S1;bande_S2;bande_S3;intervention;dist_trace_m
45933;MTL-Ott;121.4;Alexandria - VIA;39.03;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.1;160.0;190.9;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
224;MTL-Ott;139.16;Alexandria - VIA;47.42;St Isidore St (Casselman);Public;F;Casselman (ON);Active - FLBG;14;1300;2;Y;124.9;157.2;187.5;≤153;154-177;178-201;complexe (urbain / multi-voies / autorité provinciale);2.1
45741;MTL-TO;322.8;Kingston - CN;200.19;-;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;300.0;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
52489;MTL-Ott;63.8;Alexandria - VIA;1.02;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
226;MTL-Ott;139.16;Alexandria - VIA;47.66;Dollard St (Casselman);Public;F;Casselman (ON);Active - FLBG;14;200;2;Y;124.9;157.2;187.5;≤153;154-177;178-201;complexe (urbain / multi-voies / autorité provinciale);2.1
610917;MTL-QC;36.3;St-Hyacinthe;45.8;-;Private;F;Private Road Authority #1;Passive;55;2;1;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
140730;MTL-QC;112.2;Drummondville;90.7;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;158.3;199.4;237.8;154-177;178-201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
45895;MTL-Ott;87.16;Alexandria - VIA;19.1;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
50369;MTL-QC;258.36;Bridge;8.24;Private;Private;F;Private Road Authority #1;Passive;13;10;2;N;200.7;252.7;301.4;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
8150;MTL-TO;379.04;Kingston - CN;235.3;Tate Rd;Public;F;Quinte West (ON);Active - FLBG;40;135;2;N;239.4;301.5;359.6;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.1
4850;MTL-QC;94.39;Drummondville;101.05;Chemin Du 5E Rang;Public;F;Drummondville (QC);Active - FLBG;27;900;2;N;200.5;252.5;301.2;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.1
140676;MTL-QC;140.14;Drummondville;69.8;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
50980;MTL-QC;147.55;Drummondville;68.9;Privé;Private;F;Private Road Authority #1;Passive;27;10;2;N;227.6;286.5;341.8;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
4840;MTL-QC;112.2;Drummondville;90.89;Route 122;Public;F;MTQ.;Active - FLBG;27;3900;2;N;158.3;199.4;237.8;154-177;178-201;>201;complexe (urbain / multi-voies / autorité provinciale);2.1
140630;MTL-QC;201.75;Drummondville;34.15;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
52496;MTL-Ott;63.8;Alexandria - VIA;3.44;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
140700;MTL-QC;132.42;Drummondville;77.48;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;202.2;254.6;303.7;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.1
52505;MTL-Ott;79.19;Alexandria - VIA;10.22;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;243.4;306.5;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.2
142600;MTL-QC;36.3;St-Hyacinthe;47.7;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.2
140683;MTL-QC;140.14;Drummondville;71.05;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.2
51936;Ott-TO;20.98;Smiths Falls;7.8;Farm Crossing;Private;F;Private Road Authority #1;Passive;13;-;1;N;160.6;202.2;241.2;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.2
14515;Ott-TO;27.04;Smiths Falls;11.75;Barnsdale Rd;Public;F;Ottawa (ON);Active - FLBG;12;2614;2;N;240.3;302.6;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.2
8329;Ott-TO;421.81;Kingston - GO;319.9;Manse Rd;Public;P;Toronto (ON);Active - FLBG;103;827;2;Y;241.2;303.7;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);2.2
45738;Ott-TO;220.82;Kingston - CN;194.56;Farm;Private;F;Private Road Authority #1;Passive;40;2;1;N;157.6;198.4;236.7;154-177;178-201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.2
140632;MTL-QC;201.75;Drummondville;34.4;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.2
50629;MTL-QC;20.19;St-Hyacinthe;60.87;Boulevard De Boucherville;Public;F;St.-Bruno-De-Montarville (Quebec);Active - FLBG;55;5000;4;Y;200.4;252.3;300.9;178-201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);2.2
4833;MTL-QC;121.71;Drummondville;84.95;Rang St Joseph;Public;F;MTQ.;Active - FLBG;27;2100;2;N;128.1;161.3;192.4;≤153;154-177;178-201;complexe (urbain / multi-voies / autorité provinciale);2.2
45915;MTL-Ott;106.16;Alexandria - VIA;27.02;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;360.0;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.2
51935;Ott-TO;23.4;Smiths Falls;8.85;Farm Crossing;Private;F;Private Road Authority #1;Passive;12;-;1;N;198.7;250.2;298.5;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.2
141137;MTL-Ott;59.82;Kingston - CN;36.64;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;304.0;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.2
140673;MTL-QC;147.97;Drummondville;68.4;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;238.6;300.4;358.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.3
45672;MTL-TO;174.21;Kingston - CN;107.35;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;303.8;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.3
36581;Ott-TO;75.3;Brockville - VIA;6.81;County Rd16 (Jasper);Public;F;Leeds & Grenville (Ontario);Active - FLBG;12;1717;2;N;304.1;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.3
8165;MTL-TO;399.0;Kingston - CN;246.75;Peters Rd;Public;F;Cramahe (ON);Active - FLBG;40;100;2;N;238.6;300.4;358.3;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.3
19662;Ott-TO;97.13;Brockville - VIA;26.55;Parkedale Ave;Public;F;Brockville (ON);Active - FLBG;12;12100;4;Y;250.9;315.9;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);2.3
140728;MTL-QC;112.2;Drummondville;89.65;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;158.3;199.4;237.8;154-177;178-201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.3
140666;MTL-QC;151.98;Drummondville;62.9;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;160.1;201.5;240.4;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.3
45656;MTL-TO;87.96;Kingston - CN;55.77;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;238.6;300.5;358.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.3
52494;MTL-Ott;63.8;Alexandria - VIA;3.09;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.3
51503;MTL-QC;140.14;Drummondville;73.1;Ferme;Private;F;Private Road Authority #1;Passive;27;2;1;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.4
4851;MTL-QC;90.53;Drummondville;102.72;Chemin Du 7E Rang;Public;F;Saint-Germain (QC);Active - FLBG;27;2000;2;N;200.4;252.4;301.0;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.4
140635;MTL-QC;201.75;Drummondville;34.9;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.4
8226;MTL-TO;455.15;Kingston - CN;281.6;Lakeshore Rd;Public;F;Clarington (ON);Active - FLBG;40;80;2;N;238.3;300.1;357.9;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.4
52487;MTL-Ott;63.8;Alexandria - VIA;2.41;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.4
45692;MTL-TO;198.58;Kingston - CN;122.27;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;225.3;283.7;338.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.4
8222;Ott-TO;358.09;Kingston - CN;279.58;Elliot Rd;Public;F;Clarington (ON);Active - FLBG;40;5;2;N;250.6;315.5;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.4
